id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
18136,5d83b232-bb87-4f66-9206-260818ffe6ff,2011-02-20,2011-02-20,,Bogota,1320,gchavesp,Giovanni Chaves-Portilla,2011-05-25 14:43:50 UTC,2018-04-25 01:37:09 UTC,research,,http://www.inaturalist.org/observations/18136,https://static.inaturalist.org/photos/33372/medium.jpg,,"","",2,0,false,,"Supatá, CO-CU, CO",5.0611238381,-74.22706604,,,,,,,,false,,,,Supatá,Cundinamarca,Colombia,Cundinamarca,Supatá,Rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
26597,3039af3e-8ace-44ac-886b-1103f5056664,2008-11-24,2008-11-24,,London,1454,benjamin,Benjamin Tapley,2011-07-31 18:36:35 UTC,2019-05-30 21:35:33 UTC,research,,http://www.inaturalist.org/observations/26597,https://static.inaturalist.org/photos/47777/medium.JPG,,"","Several individuals observed in cloud forest streams at about 2000m asl, tadpoles also observed in stream pools. ",2,0,false,,Virolin,6.10728,-73.1977,,,,,,,open,false,,,,Charalá,Santander,Colombia,Santander,Charalá,Palm Rocket Frog,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
31128,426c3961-75af-4803-994e-f298c3b38733,22/07/2011,2011-07-22,,Bogota,2700,hugo_bernal,HUGO BERNAL HERNANDEZ,2011-09-14 23:21:40 UTC,2018-04-25 01:37:49 UTC,research,,http://www.inaturalist.org/observations/31128,https://static.inaturalist.org/photos/53907/medium.JPG,,"","",2,0,false,,Fusagasuga,4.3792747539,-74.3252563477,,,,,,,,false,,,,Fusagasugá,Cundinamarca,Colombia,Cundinamarca,Fusagasugá,Rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
39164,4e0bc004-2eff-407d-87de-549706d4700d,2011-10-10,2011-10-10,,Bogota,3151,juandaza,"",2011-11-15 21:17:56 UTC,2018-08-31 03:44:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/39164,https://static.inaturalist.org/photos/65162/medium.jpg,,"","",2,0,false,,"Campoalegre, CO-HU, CO",2.6795151421,-75.2975463867,,,,,,,,false,,,,Campoalegre,Huila,Colombia,Huila,Campoalegre,Rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
46783,3bc0ffdd-9d85-4c5e-894d-32e74bc02148,2011-12-01,2011-12-01,,Bogota,1339,elson,Elson Meneses Pelayo,2012-01-11 02:24:19 UTC,2021-07-01 16:56:28 UTC,research,,http://www.inaturalist.org/observations/46783,https://static.inaturalist.org/photos/75236/medium.jpg,,"","",2,0,false,,"San Vicente de chucuri, vereda la colorada, finca el diviso, 1250 m.s.n.m ",6.8833333,-73.4166667,43256,,,,43256,,,false,,,,San Vicente de Chucurí,Santander,Colombia,Santander,San Vicente de Chucurí,Rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
50246,0f0bc370-ed7f-47e8-91b6-3df51451a0a7,2012-01-20,2012-01-20,,Bogota,1634,c_h_giraldo,César Giraldo,2012-02-02 06:48:51 UTC,2019-12-20 02:49:24 UTC,research,,http://www.inaturalist.org/observations/50246,https://static.inaturalist.org/photos/80057/medium.JPG,,"","",3,0,false,,"Meta, CO",4.1048520627,-73.6700492762,,,,,31411,obscured,open,true,,,,Villavicencio,Meta,Colombia,Meta,Villavicencio,Palm Rocket Frog,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
478714,46cf81e7-9ad6-4c07-8c1b-17c2f23ab031,2013-11-23,2013-11-23,,Bogota,16108,andreacg,Andrea Castro-Gómez,2013-12-09 16:59:47 UTC,2019-05-30 21:34:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/478714,https://inaturalist-open-data.s3.amazonaws.com/photos/604298/medium.JPG,,"","Macho encontrado al lado de una quebrada con cierto grado de intervención antrópica por la cantidad de basura presente en ella, cuidando alrededor de 25 huevos.  ",3,0,false,,"Silvania, Cundinamarca ",4.406243,-74.389915,14910,,,,14910,,open,false,,,,Silvania,Cundinamarca,Colombia,Cundinamarca,Silvania,Palm Rocket Frog,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
615731,efd3ff05-95a3-467e-aad7-7f3f119eacbb,2014-04-05,2014-04-05,,Bogota,29527,gorettileuro,Goretti Leuro,2014-04-10 01:54:54 UTC,2021-09-24 19:17:53 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/615731,,,"","",0,0,false,,san antonio de tequendama,4.616657,-74.350727,132,,,,132,,open,false,,,,San Antonio del Tequendama,Cundinamarca,Colombia,Cundinamarca,San Antonio del Tequendama,rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
854348,fd1ae9ce-2bdc-4aac-b6fa-09b49abb6f15,2014-08-15,2014-08-15,,Bogota,39490,omarsantiago31,Omar Santiago Chaparro,2014-08-30 20:22:03 UTC,2024-09-06 15:33:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/854348,https://inaturalist-open-data.s3.amazonaws.com/photos/1082657/medium.JPG,,"","",2,0,false,,San Antonio del Tequendama ,4.59109,-74.35115,,,,,,,open,false,,,,San Antonio del Tequendama,Cundinamarca,Colombia,Cundinamarca,San Antonio del Tequendama,Rheobates palmatus,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
1019939,ff1da370-49f9-415f-894d-4aaace066b52,2014-10-01,2014-10-01,,Bogota,39490,omarsantiago31,Omar Santiago Chaparro,2014-10-15 12:57:08 UTC,2021-10-01 16:58:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1019939,https://inaturalist-open-data.s3.amazonaws.com/photos/1246424/medium.JPG,,"","",2,0,false,,San Antonio del tequendama,4.59109,-74.35115,,,,,,,open,false,,,,San Antonio del Tequendama,Cundinamarca,Colombia,Cundinamarca,San Antonio del Tequendama,Palm Rocket Frog,Rheobates palmatus,Palm Rocket Frog,Amphibia,67082
