id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5162289,c3693519-0979-4cc1-8c31-5aae4640726d,2016/10/15,2016-10-15,,Pacific Time (US & Canada),5504,amplex4love,Paul Maier,2017-02-23 19:08:35 UTC,2023-07-11 10:41:43 UTC,research,CC-BY,https://www.inaturalist.org/observations/5162289,https://static.inaturalist.org/photos/6362036/medium.jpg,,"",,2,0,false,,Ecuador,0.3127130496,-78.6408144077,24415,,,,31451,,obscured,true,,,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Cutín Mutable,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
9615308,56f84366-c4e4-48cb-88c3-0aaa9b7fcd95,2017/05/19 8:11 PM CST,2017-05-19,2017-05-20 01:11:00 UTC,Central Time (US & Canada),739624,andriusp,"",2018-01-26 00:37:56 UTC,2023-01-20 09:04:17 UTC,research,,https://www.inaturalist.org/observations/9615308,https://static.inaturalist.org/photos/13121895/medium.jpg,,"","Otonga nature reserve, primary cloud forest at 1400-1700m elevation",2,0,false,,Ecuador,-0.4991358978,-79.1826729083,7626,,,,31451,,obscured,true,,,,Santo Domingo de los Colorados,Santo Domingo de los Tsáchilas,Ecuador,Santo Domingo de los Tsáchilas,Santo Domingo de los Colorados,Cutín Mutable,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
10040393,cba55c6d-2f19-472f-8002-7555ebc4bd06,2017-11-13,2017-11-13,,Pacific Time (US & Canada),304776,bit,Bitty A. Roy,2018-03-01 04:46:59 UTC,2025-05-31 01:01:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/10040393,https://inaturalist-open-data.s3.amazonaws.com/photos/13814006/medium.jpg,,"",Photo by Morley Read; used with permission.,4,0,false,,Ecuador,0.2598714071,-78.7766754072,,,,,31451,,obscured,true,,,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Mutable Rainfrog,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
14795335,c2404cd8-1272-4923-aa4b-d843b881bd13,2018/02/24 10:00 PM EST,2018-02-24,2018-02-25 03:00:00 UTC,Eastern Time (US & Canada),704651,jdzadik,Jake Zadik,2018-07-27 18:19:47 UTC,2023-07-11 10:41:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14795335,https://inaturalist-open-data.s3.amazonaws.com/photos/22082964/medium.jpeg,,"",Spotted on Motmot Trail following a light rainfall on a trail edge. Approx. 10 meters from the river. ,1,0,false,,"Pichincha, EC",-0.0726172532,-78.6545748857,25,,,,31451,,obscured,true,,,,San Miguel de los Bancos,Pichincha,Ecuador,Pichincha,San Miguel de los Bancos,Cutín Mutable,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
47267152,f1644b9b-20e0-4814-ac9c-513717b4e5f5,2019/09/12 7:28 PM UTC,2019-09-12,,UTC,1466733,morleyread,Morley Read,2020-05-25 14:25:57 UTC,2023-07-11 10:41:55 UTC,research,,https://www.inaturalist.org/observations/47267152,https://static.inaturalist.org/photos/74964223/medium.jpg,,"","On a leaf at night near the forest floor, Sendero Oso, altitude approx. 2200m.",2,0,false,,Ecuador,0.3562404156,-78.6926153116,,,,,31451,,obscured,true,,,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Pristimantis mutabilis,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
67069446,e543c3cf-bb63-4777-9af7-5e7d1d4b106b,2020-12-19,2020-12-19,,UTC,1458915,marajosnavarrete,María José Navarrete,2020-12-26 03:06:43 UTC,2025-01-26 20:41:48 UTC,research,,https://www.inaturalist.org/observations/67069446,https://static.inaturalist.org/photos/108269266/medium.jpeg,,"",,1,0,false,2,Ecuador,0.2282729651,-78.6742388633,2763,,,,31451,,obscured,true,gps,gps,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Pristimantis mutabilis,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
68531256,a6353476-6197-4979-ba61-1f2ff367e4a1,2017/01/01 7:08 PM NZDT,2017-01-01,2017-01-01 06:08:00 UTC,Auckland,1548677,andypearce,Andy Pearce 🕊,2021-01-24 05:27:12 UTC,2023-01-20 09:04:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68531256,https://inaturalist-open-data.s3.amazonaws.com/photos/110991597/medium.jpg,,"",,1,0,false,,"Pichincha, EC",-0.128661237,-78.7268387089,212,,,,31451,,obscured,true,,,,San Miguel de los Bancos,Pichincha,Ecuador,Pichincha,San Miguel de los Bancos,Mutable Rainfrog,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
69724075,808d6b08-1275-4fff-8993-991815c69149,2021-02-16 10:15:00 PM GMT-05:00,2021-02-16,2021-02-17 03:15:00 UTC,Bogota,1458915,marajosnavarrete,María José Navarrete,2021-02-17 16:44:07 UTC,2025-01-26 20:41:48 UTC,research,,https://www.inaturalist.org/observations/69724075,https://static.inaturalist.org/photos/113198631/medium.jpeg,,"","2300 asl, it changed skin texture after 1 min aprox of manipulation",2,0,false,2,"Carchi, EC",0.6931553244,-78.0019005261,3025,,,,31450,,obscured,true,,,,Espejo,Carchi,Ecuador,Carchi,Espejo,Pristimantis mutabilis,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
90158653,1096abf1-643b-41af-8144-ca48e0554e30,2012/03/16 2:22 PM -0300,2012-03-16,2012-03-16 17:22:00 UTC,Brasilia,3053132,rojas-runjaic,Fernando J. M. Rojas-Runjaic,2021-08-06 16:35:32 UTC,2023-07-11 10:42:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/90158653,https://static.inaturalist.org/photos/148969224/medium.jpeg,,"","",1,0,false,,Ecuador,0.3423778649,-78.7766655366,100,,,,31451,,obscured,true,,,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Pristimantis mutabilis,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
187788208,cc4a8ebf-b5c0-4b96-8998-2b83046932c8,2023-10-14 11:09:25,2023-10-14,2023-10-14 16:09:25 UTC,America/Guayaquil,652507,edu_obando,Eduardo Obando,2023-10-16 15:32:33 UTC,2023-10-16 15:32:45 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/187788208,https://inaturalist-open-data.s3.amazonaws.com/photos/328487666/medium.jpeg,,"",,0,0,false,2,Ecuador,0.2630302244,-78.7050002741,,,,,31451,,obscured,true,gps,gps,,Cotacachi,Imbabura,Ecuador,Imbabura,Cotacachi,Cutín Mutable,Pristimantis mutabilis,Mutable Rainfrog,Amphibia,476729
